iter	MultiClass
0	4.053077686
1	3.77464722
2	3.583923533
3	3.393794499
4	3.258669114
5	3.139502588
6	3.046196767
7	2.936914283
8	2.844096389
9	2.751739752
10	2.671093056
11	2.5903288
12	2.526598311
13	2.457261031
14	2.393536627
15	2.349788956
16	2.308056274
17	2.259426474
18	2.210584675
19	2.167206444
20	2.122478742
21	2.08107619
22	2.04265299
23	2.008697057
24	1.973463935
25	1.941281427
26	1.911797231
27	1.880685675
28	1.853794117
29	1.828516152
30	1.800787272
31	1.778072915
32	1.753465893
33	1.731622602
34	1.708500623
35	1.688635568
36	1.66796207
37	1.64754625
38	1.628468055
39	1.609865662
40	1.592660686
41	1.576401584
42	1.559520995
43	1.543086024
44	1.529388832
45	1.514741085
46	1.501180382
47	1.489156883
48	1.476538987
49	1.466235601
50	1.454846792
51	1.442505294
52	1.431365843
53	1.421745809
54	1.410676337
55	1.399853791
56	1.389278174
57	1.379558681
58	1.369758851
59	1.361433014
60	1.352345538
61	1.343320665
62	1.334118331
63	1.325639916
64	1.317694865
65	1.309743225
66	1.302664534
67	1.295307629
68	1.28912979
69	1.283397007
70	1.277865429
71	1.270889595
72	1.264065002
73	1.257420019
74	1.251037646
75	1.244920208
76	1.240118293
77	1.234293731
78	1.227975199
79	1.223849877
80	1.218475748
81	1.213003228
82	1.207274262
83	1.202156359
84	1.198592585
85	1.194800966
86	1.189742078
87	1.185588147
88	1.181826153
89	1.176400889
90	1.172519713
91	1.168023043
92	1.164137517
93	1.160041937
94	1.155542765
95	1.15125787
96	1.146859827
97	1.142820891
98	1.138392115
99	1.134798048
100	1.13136398
101	1.127695868
102	1.123782329
103	1.119751248
104	1.115963893
105	1.112985104
106	1.109786194
107	1.106293223
108	1.103041979
109	1.09910404
110	1.096209784
111	1.092598076
112	1.089061051
113	1.085670675
114	1.083007122
115	1.079600692
116	1.076069398
117	1.073195197
118	1.070882046
119	1.067886781
120	1.065632594
121	1.063001256
122	1.060706183
123	1.057324829
124	1.054965029
125	1.052454622
126	1.049888204
127	1.047242116
128	1.044545677
129	1.042560051
130	1.040890715
131	1.038580605
132	1.035789869
133	1.033424284
134	1.0314892
135	1.029249605
136	1.02703717
