iter	Passed	Remaining
0	7211	7204124
1	15110	7540217
2	23107	7679434
3	31890	7940796
4	40732	8105766
5	49180	8147496
6	59148	8390614
7	69482	8615845
8	80569	8871611
9	93588	9265308
10	107885	9699923
11	122629	10096473
12	137461	10436475
13	151843	10694106
14	164392	10795133
15	176069	10828257
16	186485	10783267
17	196643	10727993
18	207025	10689037
19	217808	10672599
20	229665	10706772
21	243633	10830608
22	259548	11025160
23	274828	11176352
24	288664	11257902
25	300801	11268492
26	311758	11234864
27	321956	11176493
28	332189	11122606
29	343436	11104432
